53,30,54,94,
30,23,35,50,
40,71,88,27,
88,83,40,82,
36,48,71,24,
92,21,74,60,
20,76,52,82,
27,60,21,98,
80,33,15,41,
99,37,75,64,
64,26,20,90,
23,19,11,55,
29,32,91,71,
88,68,43,50,
55,74,52,93,
45,62,50,65,
87,81,26,57,
69,34,70,99,
95,68,90,14,
59,78,63,84,
78,92,62,68,
10,17,34,89,
90,42,33,68,
90,36,54,44,
100,63,17,89,
14,70,91,70,
65,87,40,83,
93,35,61,18,
64,17,48,84,
76,16,98,86,
10,100,58,97,
20,88,76,23,
85,83,30,77,
33,55,91,68,
82,61,26,20,
45,54,58,78,
24,17,19,12,
99,55,38,33,
16,43,68,70,
28,99,71,41,
93,96,68,88,
24,29,73,25,
77,55,55,73,
71,95,55,24,
44,67,33,76,
89,85,100,59,
48,16,93,90,
15,46,19,85,
85,79,33,43,
42,20,95,85,
79,56,48,71,
94,18,42,84,
44,72,69,36,
66,43,65,22,
53,50,29,35,
49,20,31,56,
11,74,100,42,
66,87,80,22,
49,46,71,68,
38,61,77,45,
61,22,98,73,
19,13,100,40,
36,62,61,72,
13,10,15,26,
33,55,47,35,
52,82,80,14,
81,20,35,30,
65,81,95,49,
14,67,85,23,
59,62,71,79,
80,56,43,24,
56,90,69,11,
45,60,32,32,
59,51,32,64,
93,27,45,30,
27,95,41,48,
83,21,17,64,
13,70,55,23,
30,58,69,28,
90,92,90,81,
21,87,74,75,
28,59,60,75,
85,29,61,12,
67,56,59,65,
51,55,96,77,
77,55,43,81,
56,76,91,67,
59,35,31,37,
39,27,36,98,
85,73,44,20,
45,93,65,45,
33,42,26,48,
84,49,85,82,
28,67,87,55,
19,29,76,67,
59,24,34,49,
89,64,20,28,
67,78,82,80,
59,73,75,27,
19,27,15,26,
74,38,98,35,
93,52,10,53,
88,25,62,40,
39,40,58,97,
24,50,21,56,
59,57,76,98,
38,12,68,67,
46,43,88,99,
23,74,17,78,
49,29,50,18,
100,55,72,83,
51,60,81,53,
32,37,73,34,
86,36,31,58,
92,100,91,54,
92,77,17,54,
86,40,96,88,
90,100,47,34,
46,80,41,25,
16,67,56,18,
14,12,70,77,
10,76,71,70,
56,76,27,75,
89,12,36,95,
10,20,39,68,
97,32,57,77,
38,14,19,50,
36,56,98,60,
48,54,34,96,
